Encoder
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
Encoder                                  --
├─Linear: 1-1                            76,930
├─Linear: 1-2                            4,851
=================================================================
Total params: 81,781
Trainable params: 81,781
Non-trainable params: 0
=================================================================
Encoder to Latents 0
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
EncoderToLatents                         --
├─Linear: 1-1                            150
├─Linear: 1-2                            150
=================================================================
Total params: 300
Trainable params: 300
Non-trainable params: 0
=================================================================
Encoder to Latents 1
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
EncoderToLatents                         --
├─Linear: 1-1                            150
├─Linear: 1-2                            150
=================================================================
Total params: 300
Trainable params: 300
Non-trainable params: 0
=================================================================
Latents to Decoder 0
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
LatentsToDecoder                         --
├─Linear: 1-1                            196
=================================================================
Total params: 196
Trainable params: 196
Non-trainable params: 0
=================================================================
Latents to Decoder 1
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
LatentsToDecoder                         --
├─Linear: 1-1                            196
=================================================================
Total params: 196
Trainable params: 196
Non-trainable params: 0
=================================================================
Decoder
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
Decoder                                  --
├─Linear: 1-1                            4,900
├─Linear: 1-2                            77,616
=================================================================
Total params: 82,516
Trainable params: 82,516
Non-trainable params: 0
=================================================================
[Epoch   1 (63.08s)]	ELBO: 1313.913, 1342.716 (1458.271)	Log prob: 1332.073, 1345.704 (1472.780)	KLD: 18.159, 2.989 (14.509)	Grad: 0.072, 0.046
[Epoch  49 (75.49s)]	ELBO: 1641.197, 1709.866 (1687.685)	Log prob: 1652.192, 1716.232 (1704.730)	KLD: 10.997, 6.367 (17.045)	Grad: 0.095, 0.052
[Epoch  50 (72.76s)]	ELBO: 1641.398, 1710.242 (1690.791)	Log prob: 1652.417, 1716.581 (1708.295)	KLD: 11.020, 6.339 (17.504)	Grad: 0.096, 0.051
[Epoch  51 (73.75s)]	ELBO: 1642.016, 1710.641 (1691.116)	Log prob: 1653.031, 1716.992 (1708.387)	KLD: 11.015, 6.352 (17.270)	Grad: 0.095, 0.052
[Epoch  52 (72.50s)]	ELBO: 1642.238, 1710.901 (1691.378)	Log prob: 1653.288, 1717.251 (1708.665)	KLD: 11.050, 6.351 (17.286)	Grad: 0.094, 0.051
[Epoch  53 (72.76s)]	ELBO: 1642.237, 1711.069 (1690.647)	Log prob: 1653.291, 1717.425 (1707.829)	KLD: 11.054, 6.354 (17.182)	Grad: 0.095, 0.051
[Epoch  54 (72.75s)]	ELBO: 1642.578, 1711.247 (1691.173)	Log prob: 1653.632, 1717.604 (1708.208)	KLD: 11.054, 6.357 (17.035)	Grad: 0.097, 0.051
[Epoch  55 (73.80s)]	ELBO: 1643.052, 1711.757 (1690.695)	Log prob: 1654.149, 1718.111 (1707.855)	KLD: 11.096, 6.355 (17.160)	Grad: 0.095, 0.050
[Epoch  56 (74.79s)]	ELBO: 1643.297, 1711.770 (1692.735)	Log prob: 1654.378, 1718.121 (1709.910)	KLD: 11.082, 6.353 (17.175)	Grad: 0.095, 0.051
[Epoch  57 (74.45s)]	ELBO: 1643.338, 1711.917 (1692.601)	Log prob: 1654.433, 1718.250 (1710.658)	KLD: 11.096, 6.333 (18.057)	Grad: 0.096, 0.052
[Epoch  58 (73.56s)]	ELBO: 1643.534, 1712.166 (1692.112)	Log prob: 1654.682, 1718.495 (1709.356)	KLD: 11.147, 6.329 (17.244)	Grad: 0.096, 0.051
[Epoch  59 (72.93s)]	ELBO: 1644.127, 1712.493 (1692.690)	Log prob: 1655.243, 1718.856 (1710.512)	KLD: 11.115, 6.362 (17.821)	Grad: 0.095, 0.051
[Epoch  60 (72.21s)]	ELBO: 1644.238, 1712.777 (1693.268)	Log prob: 1655.367, 1719.134 (1710.805)	KLD: 11.129, 6.358 (17.537)	Grad: 0.096, 0.051
[Epoch  61 (72.85s)]	ELBO: 1644.450, 1712.903 (1691.713)	Log prob: 1655.600, 1719.265 (1709.397)	KLD: 11.150, 6.361 (17.683)	Grad: 0.097, 0.051
[Epoch  62 (74.71s)]	ELBO: 1644.744, 1713.102 (1692.162)	Log prob: 1655.910, 1719.448 (1709.590)	KLD: 11.166, 6.347 (17.428)	Grad: 0.096, 0.051
[Epoch  63 (74.82s)]	ELBO: 1645.095, 1713.442 (1693.771)	Log prob: 1656.255, 1719.777 (1711.311)	KLD: 11.160, 6.335 (17.540)	Grad: 0.096, 0.050
[Epoch  64 (75.99s)]	ELBO: 1645.180, 1713.501 (1692.520)	Log prob: 1656.364, 1719.844 (1710.160)	KLD: 11.183, 6.343 (17.640)	Grad: 0.097, 0.051
[Epoch  65 (69.51s)]	ELBO: 1645.318, 1713.708 (1693.496)	Log prob: 1656.487, 1720.022 (1710.704)	KLD: 11.170, 6.315 (17.208)	Grad: 0.098, 0.051
[Epoch  66 (67.86s)]	ELBO: 1645.705, 1714.101 (1694.191)	Log prob: 1656.887, 1720.448 (1711.998)	KLD: 11.183, 6.347 (17.808)	Grad: 0.098, 0.051
[Epoch  67 (69.92s)]	ELBO: 1645.728, 1714.131 (1693.056)	Log prob: 1656.939, 1720.488 (1710.480)	KLD: 11.211, 6.357 (17.424)	Grad: 0.096, 0.051
[Epoch  68 (68.76s)]	ELBO: 1645.852, 1714.437 (1693.641)	Log prob: 1657.079, 1720.787 (1710.922)	KLD: 11.227, 6.351 (17.281)	Grad: 0.098, 0.051
[Epoch  69 (70.89s)]	ELBO: 1646.154, 1714.695 (1694.841)	Log prob: 1657.392, 1721.047 (1712.418)	KLD: 11.238, 6.351 (17.577)	Grad: 0.098, 0.050
[Epoch  70 (71.25s)]	ELBO: 1646.453, 1714.972 (1693.634)	Log prob: 1657.690, 1721.335 (1711.102)	KLD: 11.237, 6.363 (17.467)	Grad: 0.097, 0.051
[Epoch  71 (70.17s)]	ELBO: 1646.357, 1714.921 (1691.190)	Log prob: 1657.577, 1721.274 (1708.838)	KLD: 11.221, 6.352 (17.648)	Grad: 0.100, 0.051
[Epoch  72 (68.78s)]	ELBO: 1646.348, 1714.998 (1693.750)	Log prob: 1657.610, 1721.352 (1711.539)	KLD: 11.262, 6.355 (17.789)	Grad: 0.099, 0.051
[Epoch  73 (68.17s)]	ELBO: 1646.661, 1715.286 (1694.649)	Log prob: 1657.935, 1721.651 (1712.549)	KLD: 11.275, 6.364 (17.900)	Grad: 0.100, 0.051
[Epoch  74 (69.48s)]	ELBO: 1646.850, 1715.463 (1692.941)	Log prob: 1658.098, 1721.815 (1710.621)	KLD: 11.247, 6.351 (17.680)	Grad: 0.101, 0.051
[Epoch  75 (70.84s)]	ELBO: 1647.170, 1715.860 (1694.224)	Log prob: 1658.435, 1722.231 (1711.830)	KLD: 11.264, 6.371 (17.606)	Grad: 0.098, 0.051
[Epoch  76 (70.94s)]	ELBO: 1647.158, 1715.819 (1694.043)	Log prob: 1658.424, 1722.185 (1711.827)	KLD: 11.267, 6.365 (17.784)	Grad: 0.101, 0.051
[Epoch  77 (72.81s)]	ELBO: 1647.488, 1716.194 (1694.292)	Log prob: 1658.790, 1722.561 (1711.702)	KLD: 11.302, 6.366 (17.411)	Grad: 0.099, 0.051
[Epoch  78 (69.70s)]	ELBO: 1647.519, 1716.224 (1694.646)	Log prob: 1658.817, 1722.595 (1712.535)	KLD: 11.299, 6.371 (17.889)	Grad: 0.101, 0.051
No improvement after 10 epochs...
Best epoch(s): [69]	Training time(s): 5638.58s (5638.58s)	Best ELBO: 1716.224 (1694.841)	Best log prob: 1722.595 (1712.549)
Avg. mu: 0.031, -0.183, 0.041, -0.001, -0.010, 0.027
Avg. var: 0.001, 0.001, 0.001, 0.014, 0.016, 0.016
Max. mu: 3.025, 3.057, 3.115, 4.153, 4.213, 4.400
Max. var: 0.005, 0.009, 0.006, 0.112, 0.101, 0.071
Min. mu: -2.551, -3.870, -4.516, -4.374, -3.740, -3.631
Min. var: 0.000, 0.000, 0.000, 0.001, 0.001, 0.003
Cov. mu:
[[0.945 -0.057 0.229 0.148 0.097 -0.191]
 [-0.057 1.199 0.271 0.050 -0.100 0.170]
 [0.229 0.271 0.953 0.088 0.006 0.017]
 [0.148 0.050 0.088 0.916 -0.041 -0.025]
 [0.097 -0.100 0.006 -0.041 0.860 -0.047]
 [-0.191 0.170 0.017 -0.025 -0.047 0.950]]
